1A,1B,1D,1E,1G,1I,1K,1L,qualified_thirds
3H,3G,3B,3D,3A,3F,3E,3I,ABDEFGHI
3I,3J,3B,3C,3A,3H,3L,3K,ABCHIJKL
3I,3J,3B,3C,3A,3G,3L,3K,ABCGIJKL
3H,3J,3B,3C,3A,3G,3L,3K,ABCGHJKL
3I,3G,3B,3C,3A,3H,3L,3K,ABCGHIKL
3H,3J,3B,3C,3A,3G,3L,3I,ABCGHIJL
3H,3J,3B,3C,3A,3G,3I,3K,ABCGHIJK
3I,3J,3B,3C,3A,3F,3L,3K,ABCFIJKL
3H,3J,3B,3C,3A,3F,3L,3K,ABCFHJKL
3H,3I,3B,3C,3A,3F,3L,3K,ABCFHIKL
3H,3J,3B,3C,3A,3F,3L,3I,ABCFHIJL
3H,3J,3B,3C,3A,3F,3I,3K,ABCFHIJK
3C,3J,3B,3F,3A,3G,3L,3K,ABCFGJKL
3I,3G,3B,3C,3A,3F,3L,3K,ABCFGIKL
3C,3J,3B,3F,3A,3G,3L,3I,ABCFGIJL
3C,3J,3B,3F,3A,3G,3I,3K,ABCFGIJK
3H,3G,3B,3C,3A,3F,3L,3K,ABCFGHKL
3H,3G,3B,3C,3A,3F,3L,3J,ABCFGHJL
3H,3G,3B,3C,3A,3F,3J,3K,ABCFGHJK
3H,3G,3B,3C,3A,3F,3L,3I,ABCFGHIL
3H,3G,3B,3C,3A,3F,3I,3K,ABCFGHIK
3H,3G,3B,3C,3A,3F,3I,3J,ABCFGHIJ
3E,3J,3B,3A,3I,3C,3L,3K,ABCEIJKL
3E,3J,3B,3C,3A,3H,3L,3K,ABCEHJKL
3E,3I,3B,3C,3A,3H,3L,3K,ABCEHIKL
3E,3J,3B,3C,3A,3H,3L,3I,ABCEHIJL
3E,3J,3B,3C,3A,3H,3I,3K,ABCEHIJK
3E,3J,3B,3C,3A,3G,3L,3K,ABCEGJKL
3E,3G,3B,3A,3I,3C,3L,3K,ABCEGIKL
3E,3J,3B,3C,3A,3G,3L,3I,ABCEGIJL
3E,3J,3B,3C,3A,3G,3I,3K,ABCEGIJK
3E,3G,3B,3C,3A,3H,3L,3K,ABCEGHKL
3H,3J,3B,3C,3A,3G,3L,3E,ABCEGHJL
3H,3J,3B,3C,3A,3G,3E,3K,ABCEGHJK
3E,3G,3B,3C,3A,3H,3L,3I,ABCEGHIL
3E,3G,3B,3C,3A,3H,3I,3K,ABCEGHIK
3H,3J,3B,3C,3A,3G,3E,3I,ABCEGHIJ
3E,3J,3B,3C,3A,3F,3L,3K,ABCEFJKL
3E,3I,3B,3C,3A,3F,3L,3K,ABCEFIKL
3E,3J,3B,3C,3A,3F,3L,3I,ABCEFIJL
3E,3J,3B,3C,3A,3F,3I,3K,ABCEFIJK
3H,3E,3B,3C,3A,3F,3L,3K,ABCEFHKL
3H,3J,3B,3C,3A,3F,3L,3E,ABCEFHJL
3H,3J,3B,3C,3A,3F,3E,3K,ABCEFHJK
3H,3E,3B,3C,3A,3F,3L,3I,ABCEFHIL
3H,3E,3B,3C,3A,3F,3I,3K,ABCEFHIK
3H,3J,3B,3C,3A,3F,3E,3I,ABCEFHIJ
3E,3G,3B,3C,3A,3F,3L,3K,ABCEFGKL
3E,3G,3B,3C,3A,3F,3L,3J,ABCEFGJL
