team,rate,asi,dwi
Kuwait,-0.0179966651016428,1.211348822511475,1.7673571396092045
Uruguay,0.8665206629001347,1.0492171761698317,0.499701827035071
Guernsey,0.4175442936948066,1.9952766222539409,0.9218760057967011
Alderney,-0.7893437077395613,0.8335240980808243,3.595668554014221
France,1.1554483504638065,2.2365690083922023,0.8798068060400188
Yugoslavia,0.5728984678517832,2.0548723983608337,0.9665319040209968
Austria,0.685624310679476,2.31771983813744,0.6675481299686428
Paraguay,0.586123813880025,0.96515476128766,1.0652767805403336
Hungary,0.5537426093465465,1.301566844231441,1.4466101054084768
Haiti,0.2186256851694012,1.7778891829748902,1.2678522172721762
Bermuda,-0.3205064968681985,1.2713089216870297,3.0851434187382583
NIR,0.1647429353301879,1.1971238002573632,1.1721580557884332
Scotland,0.5130340248781798,1.53379497224586,1.300290023709937
Wales,0.4883078667574252,1.3953072143521552,1.263474104252105
Switzerland,0.8203783100342494,2.228709263100692,0.8664334067884618
Ecuador,0.8356944139931692,0.7060729470086037,0.3662717812257157
Poland,0.5875088422571545,1.4815472814496795,1.0880973288968785
Ireland,0.377334274512243,1.026713650974972,1.0963267672028527
Jersey,0.5842222740401601,2.738805522337272,0.793624119605825
Portugal,0.993034572123919,1.961279860651236,1.1663475110270196
Norway,0.6682908533622142,3.372640262695174,0.7853209154280408
Senegal,0.8162350142470353,2.11124779748178,0.3699330689402323
German DR,0.363321012375389,1.7242020932425148,1.3700303837171184
Denmark,0.7967646415150771,2.202715230505226,0.9414566259016998
Colombia,1.0143140635879433,1.9943377023888025,0.9491617453363465
Finland,0.120905747465389,0.8250551163642408,1.7406075758768158
Morocco,0.8809489007697265,1.6248646718853594,0.1934595286186519
Uganda,-0.0007947081271226,1.115751827521382,1.371562492227713
Tanzania,-0.1629142268315093,0.7525332497480199,1.3401138074674517
Honduras,0.2701252682595325,1.1762150813054284,1.0059825525486072
Panama,0.5629518150217253,1.8165230432128203,0.9254857613743523
Malaysia,0.0267660251441815,2.0219674859202907,0.9548402893720828
Singapore,-0.3486369032540574,1.3644629423819774,1.5932223379534218
Indonesia,-0.024992096723327,1.2678188312522791,1.660908634396256
Hong Kong,-0.2787873891366877,1.9615600805779825,0.9830355069143772
Korea,0.7831273288848826,1.8988538696059387,0.9451954877353708
Western Australia,-0.1558787370303357,1.5610910460073448,1.9498796232950244
Malawi,-0.1652129105900428,1.0336523757090508,1.0436164201254703
Mauritius,-0.6009646425713709,0.6697717752947748,1.728243167125246
Iceland,0.1904985669615349,1.855409425174396,1.749580642261418
Gabon,0.0666496900690089,1.5319981379001983,1.5687665046445092
Tahiti,0.0683441686952953,1.5188959374957411,1.258399946658447
NC,0.095647290972927,2.041571717014941,1.198259322607511
Iraq,0.4836258437200486,1.1720249770978035,0.8688131256579965
India,-0.3370386900105039,0.6567528417513053,1.1536557178497169
Taiwan,-0.6962231251919544,1.0217292733930488,2.954812104517335
Vietnam Republic,-0.1583089430743631,1.141467717855458,1.876606856831612
Japan,0.8687194793164232,2.25368943381104,0.7520579510215323
Thailand,0.1182205897663367,2.2410944089079825,1.0684223155263273
Myanmar,-0.6007365918457717,1.0663575256836733,2.2654325386714818
Lesotho,-0.2758323066144324,0.6553989402108583,1.472390899423223
Libya,0.0460685530795814,1.181377460250003,0.8586216929315362
Tunisia,0.426614100942489,1.8238277814442825,1.0691488661201372
Iran,0.767512773869709,1.6977672370365455,0.7799489333977067
Pakistan,-0.910700749917536,0.2883680207111777,2.102572753712852
Turkey,0.7113226272804662,2.266546795748355,1.3114126814631346
North Vietnam,-0.0984445556946392,1.942519810946701,1.629977409871068
Cuba,-0.290071309467915,1.0239010373549655,1.864179987866718
Zanzibar,-0.0830556784211019,1.1704056798211333,1.0047221286056591
Kenya,-0.0588915849763321,1.1993840169730956,1.221476396398542
Suriname,0.0971628169326771,1.4459192608618847,0.900773441019854
Trinidad and Tobago,0.0728090548882752,1.2392163134621872,1.4309894503342546
Curacao,0.05840222703205,2.184679474414013,0.791367036156078
Guyana,-0.1531509576042638,1.88417143977896,1.667828009604824
Greece,0.5667542536228596,2.0207257787806023,1.4337148216734488
Sierra Leone,-0.1589779030535593,0.991481566351495,1.2462861454972098
Albania,0.3314986034102561,1.2484194786799458,0.6316254118734732
Zambia,0.0481521219245467,0.8004733376887103,1.129234969968535
Australia,0.7092627619924741,1.61761995525712,0.7147144178567723
Togo,-0.1122197831679828,0.8182843548905588,1.286841719126484
Macau,-1.0545913963129996,0.5594435348921082,2.04197214035071
Benin,0.0037677298972412,0.677067530421951,1.3287335705858612
Congo,-0.2953743319347036,0.828675967097719,2.113641240085136
Nigeria,0.5796842853268457,1.9319008974983347,0.6246911520168106
Laos,-0.9374497264641096,0.938700035647246,2.6680317547068264
Cambodia,-0.8238257741213936,1.2427044924747224,1.8413706937328245
French Guiana,-0.198611270308629,1.3818287340098845,1.468103472371452
Cyprus,-0.2532298453514559,1.1634146910979215,1.7223528214069332
Madagascar,-0.1297983853352326,1.3869132963676252,1.5791027677803504
Dominica,-0.5587250736253773,1.0055664391748544,2.0006371933171208
Saint Lucia,-0.3887567261379321,1.0426872082840974,2.232197556979522
Grenada,-0.356256277900234,1.814564280342184,1.4361890767589325
Saint Vincent and the Grenadines,-0.280624779034385,2.076231942785763,1.1676017548683886
Algeria,0.7090919452273601,2.0175064143339867,0.4586197513257528
